id,coherence,fluency,informativeness,relevance,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
2140_fragments,2.6666666666666665,3.333333333333333,2.6666666666666665,3.0,-2.253180980682373,-2.22672438621521,[0.8733741044998169],[0.846444845199585],[0.8596986532211304],[0.9545454545454546],[0.84],[0.8936170162969671],[0.88],[0.7857142857142857],[0.8301886742613029],[0.9545454545454546],[0.84],[0.8936170162969671],[0.8747484709023172],[1.0518351895246305e-231],[0.7052525174305952],0.158519539856902,0.3225794386250832,0.4305363517992389,0.0021270897537274034,0.2517476267260165
2140_textrank,4.0,4.0,3.333333333333333,4.0,-0.9105525612831116,-1.2856775522232056,[0.48087742924690247],[0.5507112741470337],[0.513430655002594],[0.14634146341463414],[0.24],[0.1818181771120295],[0.021739130434782608],[0.03571428571428571],[0.027027022322864223],[0.0975609756097561],[0.16],[0.12121211650596897],[0.19859374999999999],[8.147480343967206e-232],[-0.018366451451118593],0.9761461269994284,0.942390022098205,0.9510128605156087,0.9400987341068022,0.944500538906872
2140_abstractive,3.0,3.0,3.0,3.6666666666666665,-5.3578972816467285,-6.79552698135376,[0.454715371131897],[0.45073065161705017],[0.4527142345905304],[0.1111111111111111],[0.04],[0.0588235255190314],[0.0],[0.0],[0.0],[0.1111111111111111],[0.04],[0.0588235255190314],[0.01792114695340502],[0],[-0.07960322860616054],0.0101810781477285,0.026182376987998367,0.027359481683550933,0.28586397221095183,0.11313527696083371
2140_pointer_c,3.333333333333333,3.6666666666666665,3.6666666666666665,4.0,-4.289953708648682,-4.761505126953125,[0.48875728249549866],[0.570149838924408],[0.5263254642486572],[0.1111111111111111],[0.24],[0.15189872985098554],[0.0],[0.0],[0.0],[0.07407407407407407],[0.16],[0.10126581845858054],[0.17964071856287428],[7.659859945595747e-232],[0.0013932008955087616],0.5794078870210968,0.06213167828259857,0.5085235321430601,0.5775040351616397,0.38271974852909946
2140_pointer_n,3.0,4.333333333333333,3.6666666666666665,4.333333333333333,-2.961827278137207,-2.900594472885132,[0.5213432908058167],[0.5749367475509644],[0.5468299984931946],[0.17142857142857143],[0.24],[0.199999995138889],[0.025],[0.03571428571428571],[0.02941175986159249],[0.11428571428571428],[0.16],[0.1333333284722224],[0.20434083601286177],[7.199666163340923e-232],[0.03508633092813562],0.6121636314215819,0.6524851838612675,0.6715066065220751,0.3255781225664009,0.5498566376499145
2140_pointer_s,3.333333333333333,3.333333333333333,2.333333333333333,3.0,-2.951552629470825,-2.865727186203003,[0.5301460027694702],[0.5846444964408875],[0.556063175201416],[0.15151515151515152],[0.2],[0.17241378819857325],[0.0],[0.0],[0.0],[0.09090909090909091],[0.12],[0.10344827095719404],[0.14705882352941177],[7.437597952034396e-232],[0.04991006326612324],0.3809821807322202,0.5581601808599718,0.5592679507460925,0.07087336488135709,0.3961004988291404
2140_lede3,4.0,4.0,3.333333333333333,3.6666666666666665,-1.2699832916259766,-1.1968923807144165,[0.531389057636261],[0.574034571647644],[0.551889181137085],[0.23684210526315788],[0.36],[0.28571428092718576],[0.05],[0.07142857142857142],[0.05882352456747445],[0.18421052631578946],[0.28],[0.2222222174351223],[0.299624303343949],[9.309480961664223e-232],[0.047871598887596956],0.8839781237396931,0.7719726128338504,0.8453959217591228,0.6757327870026711,0.7643671071985482
7569_lede3,4.333333333333333,4.666666666666667,4.666666666666667,4.0,-1.1853044033050537,-1.3246835470199585,[0.5000070333480835],[0.8265401124954224],[0.623085081577301],[0.18181818181818182],[0.8421052631578947],[0.2990654176399686],[0.11764705882352941],[0.7],[0.20143884645722274],[0.18181818181818182],[0.8421052631578947],[0.2990654176399686],[0.5451607487618569],[5.374831339232389e-232],[0.13999099424905892],0.9461939973222616,0.9804438276826068,0.956746075068763,0.619319365260581,0.8521697560039835
7569_fragments,3.0,3.333333333333333,2.6666666666666665,3.333333333333333,-1.7365084886550903,-1.541589617729187,[0.966927170753479],[0.9576176404953003],[0.9622499346733093],[0.9444444444444444],[0.8947368421052632],[0.9189189139225714],[0.8421052631578947],[0.8],[0.8205128155161079],[0.9444444444444444],[0.8947368421052632],[0.9189189139225714],[0.911700913242009],[1.012071042130996e-231],[0.9173674381794581],0.9136284696965864,0.9196021238080164,0.9341236193789583,0.018367591972983748,0.6240311117199862
7569_textrank,3.333333333333333,3.333333333333333,3.333333333333333,3.6666666666666665,-1.8239903450012207,-2.3444366455078125,[0.5979230999946594],[0.8775054812431335],[0.7112249135971069],[0.3333333333333333],[0.7894736842105263],[0.4687499958251954],[0.25925925925925924],[0.7],[0.3783783744338933],[0.3333333333333333],[0.7894736842105263],[0.4687499958251954],[0.6891821578922473],[6.466558133769387e-232],[0.356137963980251],0.9039386686014532,0.9562417786499559,0.9524903251718223,0.17026171992488262,0.6929979412488869
