id,src,sys,refs,ref,informativeness,naturalness,quality
0,confirm(area='cathedral hill'),You want a hotel in the cathedral hill ?,"['Confirms the area cathedral hill .', 'Just to make sure you are looking for something in the cathedral hill area ?']",Confirms the area cathedral hill .,4.5,3.5,4.0
1,confirm(area=dont_care),Can you do not care about the area correct ?,"['To confirm , you do not care what area the hotel is in ?', 'Can you confirm that you do not care about area ?', 'Are you confirming that you do not care area ?', 'Please confirm do not care', 'Just to confirm , the area does not matter ?', 'You do not care about the area , correct ?', 'Can I double check you do not care about the area ?', 'Did you respond that you do not care about the area ?', 'Can I confirm that you do not care about the area ?']","To confirm , you do not care what area the hotel is in ?",3.0,1.0,1.0
2,confirm(area='fort mason'),You want a hotel in the fort mason ?,"['Just to confirm that , your looking for a hotel near fort mason ?', 'To confirm , you are looking for a hotel in the fort mason area ?', 'Is it correct that you are looking for hotel -s in fort mason ?']","Just to confirm that , your looking for a hotel near fort mason ?",4.5,4.5,5.0
3,confirm(dogs_allowed=dont_care),Can I double check you do not care if dogs are allowed at the hotel ?,"['I am sorry . Is it true that you do not care if dogs are allowed ?', 'Okay , dogs are not relevent to your search ?', 'You do not care if it allows dogs right ?', 'Can I confirm that you do not care if dogs are alloed at the hotel ?', 'You do not care if dogs are allowed ?', 'Dogs allowed is not an issue', 'Dogs allowed is not an issue ?', 'Can I confirm that you do not care if dogs are allowed at the hotel ?', 'Can I double check you do not care if dogs are allowed ?', 'To clarify , you do not care if dogs are allowed ?', 'You do not care whether they allow dogs ?']",I am sorry . Is it true that you do not care if dogs are allowed ?,4.0,4.0,4.0
4,confirm(has_internet='yes'),I would like to confirm that you are looking for a hotel with internet ?,"['Did you want to know if there is internet access ?', 'Does it have internet ?', 'Can I confirm internet ?', 'I would like to confirm that you are looking for a hotel with internet ?', 'Did you say you were looking for place -s that allow internet ?', 'Can I confirm that you are looking for a hotel with internet ?', 'Something that has internet , correct ?', 'You would like a hotel with internet ? Correct ?']",Did you want to know if there is internet access ?,5.0,5.0,5.0
5,confirm(near=dont_care),Can you do not care about the near correct ?,"['Can I confirm that you do not care what area you are looking for a hotel near ?', 'Can I confirm that you do not care which area the hotel is in ?', 'May I confirm you do not care what you are near ?', 'Can I confirm that you do not care what is near the hotel ?', 'Please confirm your request for a hotel near do not care', 'Can I confirm you do not care where is the hotel near to ?']",Can I confirm that you do not care what area you are looking for a hotel near ?,1.0,1.0,1.0
6,confirm(near='haight'),Do you want it near haight ?,"['So are you looking for a hotel in the haight area ?', 'Can I confirm that you want to be staying near haight ?', 'Can I confirm that it needs to be near haight ?', 'Just to confirm , you are looking for a hotel near haight ?', 'Are you looking near haight ?', 'Did you say you are looking for a hotel close to haight']",So are you looking for a hotel in the haight area ?,3.0,5.0,5.0
7,confirm(near='japantown'),Do you want it near japantown ?,"['To confirm , near japantown .', 'Would you like to know if it is near japantown ?']","To confirm , near japantown .",3.5,4.0,4.5
8,confirm(near='soma'),Do you want it near soma ?,"['Would you like a hotel near soma ?', 'Do you want a hotel near soma', 'Can I confirm that you want a hotel near soma .']",Would you like a hotel near soma ?,3.0,4.0,3.0
9,confirm(price_range=dont_care),Can I confirm that you do not care if dogs are allowed at the hotel credit same request for a credit card to check in or you do not care whether they accept credit cards that you do not care ?,"['Can I confirm that you do not care its price range ?', 'Do you mean that you do not care which price range ?']",Can I confirm that you do not care its price range ?,1.0,3.0,2.0
