id,src,sys,refs,ref,informativeness,naturalness,quality
0,"inform(name=none,area=citycentre,near='X')",There is sorry no information matching constraints near X .,"['I am sorry but there are no venues near X in the city centre .', 'There are no places you are looking for near X in the centre of town .']",I am sorry but there are no venues near X in the city centre .,6.0,4.0,5.0
1,"inform(name=none,area='X',near='X')",I 'm no venues in the X area near X .,"['I am sorry , but I know of no venues near X in the X area .', 'I am sorry there is no information about a venue in the X area near X .']","I am sorry , but I know of no venues near X in the X area .",3.0,3.0,3.0
2,"inform(name=none,near='X',area=citycentre)",There is sorry no information matching constraints near X .,"['I regret to tell you that there are no places I know of near X in the centre of town .', 'I am sorry there is no information about a venue in the city centre near X .']",I regret to tell you that there are no places I know of near X in the centre of town .,3.0,3.0,5.0
3,"inform(name=none,near='X',area=riverside)",I 'm sorry there are no venues near X .,"['I am sorry there is no information matching the constraints in the riverside area near X .', 'I am sorry but there is no information about a venue in the riverside area near X .']",I am sorry there is no information matching the constraints in the riverside area near X .,2.0,6.0,6.0
4,"inform(name=none,near='X',area='X')",I 'm sorry there is no information about a venue in the X area near X I 'm .,"['I am sorry , but there are no venues matching your constraints near X , in the X area .', 'There are no venues in the X area near X .']","I am sorry , but there are no venues matching your constraints near X , in the X area .",6.0,5.0,6.0
5,"inform(name=none,type=placetoeat,eattype=restaurant,near='X',food=English)",I 'm near X .,"['I am sorry but there is no information about a restaurant providing english food near to X', 'There are no restaurants near X which serve english food .']",I am sorry but there is no information about a restaurant providing english food near to X,3.0,4.0,2.0
6,"inform(name='X',area=riverside,eattype=restaurant,food=Fastfood,pricerange=cheap)",X is a restaurant on the riverside called located at the riverside and at is .,"['X is a cheap fast food restaurant near the river .', 'X is a cheap fastfood restaurant located near the riverside .']",X is a cheap fast food restaurant near the river .,1.0,1.0,2.0
7,"inform(name='X',area=riverside,food=Chinese,eattype=restaurant)",X is a chinese restaurant near the river and I serve food .,"['There is a chinese restaurant on the riverside called X', 'X is a chinese restaurant in the riverside area .']",There is a chinese restaurant on the riverside called X,4.0,3.0,3.0
8,"inform(name='X',area='X',eattype=restaurant,food=Chinese)",X is a chinese food restaurant near X .,"['X is a chinese restaurant in X', 'X is a chinese restaurant in the X area .']",X is a chinese restaurant in X,4.0,5.0,5.0
9,"inform(name='X',eattype=coffeeshop,eattype=restaurant)",X is a restaurant .,"['X is a cafe restaurant', 'X is a cafe restaurant .']",X is a cafe restaurant,5.0,5.0,5.0
10,"inform(name='X',eattype=restaurant)",X is a restaurant .,['X is a restaurant .'],X is a restaurant .,2.0,6.0,3.0
11,"inform(name='X',eattype=restaurant,addr='X')",X is a restaurant .,"['X is a restaurant located at X .', 'X is a restaurant at X']",X is a restaurant located at X .,4.0,5.0,5.0
