id,fact,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
0,1.0,-1.2689073085784912,-0.9202051758766174,[0.8427626490592957],[0.5377880334854126],[0.656589686870575],[0.9743589743589743],[0.19689119170984457],[0.3275862040996582],[0.8888888888888888],[0.12658227848101267],[0.22160664601714233],[0.9743589743589743],[0.19689119170984457],[0.3275862040996582],[0.11745262439493602],[1.0296788793467617e-231],[0.0974544470462918],0.9884850676240792,0.9913145558696556,0.9793644217334432,0.9243210118952557,0.9649999964994516
1,1.0,-0.9659668803215028,-0.6496366858482361,[0.7046570777893066],[0.5133938789367676],[0.5940090417861938],[0.9655172413793104],[0.2857142857142857],[0.44094487836567675],[0.9333333333333333],[0.18421052631578946],[0.30769230493901706],[0.9655172413793104],[0.2857142857142857],[0.44094487836567675],[0.18560588814754722],[8.972141065609098e-232],[0.19921855664353683],0.9885668787642112,0.9471415849462586,0.9725686940927275,0.8873199939127266,0.9356767576505708
2,0.6666666666666666,-0.9203084111213684,-0.9571658968925476,[0.7508464455604553],[0.5263546705245972],[0.61887127161026],[1.0],[0.3448275862068966],[0.5128205090072322],[0.9464285714285714],[0.21285140562248997],[0.3475409806086536],[1.0],[0.3448275862068966],[0.5128205090072322],[0.19517816742081448],[8.614911585158347e-232],[0.22371202902631082],0.906550391484668,0.14563231620489278,0.9038054969771242,0.636188227952219,0.5618753470447454
3,0.6666666666666666,-0.9691836833953856,-0.8879199028015137,[0.7563137412071228],[0.5365326404571533],[0.6277420520782471],[0.9818181818181818],[0.32142857142857145],[0.4843049290192845],[0.8923076923076924],[0.21722846441947566],[0.34939758721240394],[0.9818181818181818],[0.32142857142857145],[0.4843049290192845],[0.19140729035916587],[9.38504236614691e-232],[0.2135915634238934],0.7279572964860009,0.08719308476954525,0.7021935166149906,0.677427784841714,0.4889381287420833
4,0.3333333333333333,-1.5893484354019165,-2.027864694595337,[0.6876481771469116],[0.41311323642730713],[0.5161455869674683],[1.0],[0.11458333333333333],[0.20560747479081146],[0.6666666666666666],[0.049689440993788817],[0.09248554784189249],[1.0],[0.11458333333333333],[0.20560747479081146],[0.06932459993724505],[9.418382295637229e-232],[-0.045665159369522756],0.7133499011495269,0.11645480442667688,0.7326207841590735,0.6032454706043054,0.48410701973001863
5,1.0,-0.5995417833328247,-0.4669556617736816,[0.7817596197128296],[0.5500983595848083],[0.6457816362380981],[0.9833333333333333],[0.3333333333333333],[0.4978902915772045],[0.9384615384615385],[0.21785714285714286],[0.3536231853476161],[0.9833333333333333],[0.3333333333333333],[0.4978902915772045],[0.18818378965495217],[9.893133360884868e-232],[0.26270860202387714],0.9834864373215728,0.9770739528479259,0.9571746328230137,0.8938833099179929,0.9427106318629774
6,1.0,-0.970745086669922,-0.6716733574867249,[0.7872235178947449],[0.5633614659309387],[0.6567397117614746],[1.0],[0.27319587628865977],[0.4291497942002],[0.9436619718309859],[0.2080745341614907],[0.34096691815913355],[1.0],[0.27319587628865977],[0.4291497942002],[0.19210453271405917],[8.669612184277444e-232],[0.24757076382705223],0.9654873887247952,0.9013781956307826,0.9315748373640301,0.6229265750092393,0.8186265360013506
7,1.0,-1.3128701448440552,-1.0138691663742063,[0.7712846994400024],[0.4293951988220215],[0.5516639947891235],[1.0],[0.13725490196078433],[0.2413793082223544],[0.8064516129032258],[0.07374631268436578],[0.1351351335998539],[1.0],[0.13725490196078433],[0.2413793082223544],[0.06723668592791603],[7.437597952034396e-232],[-0.05610517542921123],0.7685994751134505,0.9837473816702483,0.964040123018,0.930384044432488,0.9593905163735789
8,1.0,-1.178228735923767,-1.2733291387557983,[0.7232840061187744],[0.48553329706192017],[0.5810282230377197],[0.9393939393939394],[0.16666666666666666],[0.2831050202714706],[0.7714285714285715],[0.08823529411764706],[0.15835776941890767],[0.9393939393939394],[0.16666666666666666],[0.2831050202714706],[0.08899161217523814],[8.614911585158347e-232],[0.1621347150026573],0.978110387528516,0.5127780303264439,0.9616824738803675,0.8998408285435331,0.7914337775834482
9,1.0,-0.6188745498657227,-0.5631604790687561,[0.8127938508987427],[0.5357805490493774],[0.6458362936973572],[1.0],[0.2849162011173184],[0.4434782574181475],[0.96875],[0.2080536912751678],[0.3425414335533104],[1.0],[0.2849162011173184],[0.4434782574181475],[0.1441372130760544],[9.48688413430962e-232],[0.17206725809935408],0.97027824533511,0.9840717910684,0.9597633327996484,0.8860062298770469,0.9432804512483651
10,0.6666666666666666,-0.878106951713562,-0.7838971018791199,[0.7476626038551331],[0.47566479444503784],[0.5814253687858582],[0.9736842105263158],[0.21511627906976744],[0.35238094941678005],[0.8409090909090909],[0.1167192429022082],[0.20498614744392693],[0.9473684210526315],[0.20930232558139536],[0.34285713989297056],[0.10647013966919168],[9.738101601099279e-232],[0.12366318470741355],0.9638849005401884,0.9825574506581218,0.9481727016796183,0.939558109174358,0.9567627538373661
11,1.0,-0.6919718384742737,-0.5157474875450134,[0.7798374891281128],[0.555683970451355],[0.6489498019218445],[0.9821428571428571],[0.3235294117647059],[0.48672565998903594],[0.9142857142857143],[0.21993127147766323],[0.35457063399298655],[0.9821428571428571],[0.3235294117647059],[0.48672565998903594],[0.1518896228626417],[9.28844245215026e-232],[0.23340902250369333],0.9837557155122768,0.9724948924313077,0.9360236223307675,0.8828072593955406,0.9304419247192053
12,1.0,-0.2844672501087188,-0.2711309790611267,[0.8581548929214478],[0.5831300616264343],[0.6944025158882141],[1.0],[0.3707865168539326],[0.5409836026108573],[1.0],[0.25878594249201275],[0.41116750942397384],[1.0],[0.3707865168539326],[0.5409836026108573],[0.18042831975887838],[8.485327127592046e-232],[0.272396323037679],0.9832975704681952,0.98551315604808,0.954398528546028,0.8564323475092613,0.9321146773677897
13,0.6666666666666666,-0.6601444482803345,-0.5740238428115845,[0.7980678677558899],[0.5060089826583862],[0.6193339228630066],[0.9736842105263158],[0.19270833333333334],[0.32173912767637053],[0.8809523809523809],[0.1167192429022082],[0.2061281316386434],[0.9736842105263158],[0.19270833333333334],[0.32173912767637053],[0.10344463259664509],[6.995501686664742e-232],[0.12925267666009999],0.9727683022225716,0.9672096941375863,0.9607457160695009,0.9499401912822901,0.9592985338297925
14,0.6666666666666666,-2.265272378921509,-1.9860128164291384,[0.7035329341888428],[0.4201423227787018],[0.5261021256446838],[0.9615384615384616],[0.1358695652173913],[0.23809523592562365],[0.6896551724137931],[0.06349206349206349],[0.116279068223533],[0.9615384615384616],[0.1358695652173913],[0.23809523592562365],[0.05791922935480816],[1.0749662678465409e-231],[-0.03361033727108054],0.7224712824159093,0.3297610443109992,0.6818341555655311,0.6497336642272331,0.5537762880345878
15,0.0,-3.2764365673065186,-3.900758743286133,[0.5474253296852112],[0.3171830475330353],[0.40164780616760254],[0.8636363636363636],[0.10326086956521739],[0.1844660175096616],[0.4230769230769231],[0.040892193308550186],[0.0745762695790865],[0.8636363636363636],[0.10326086956521739],[0.1844660175096616],[0.08003169572107764],[1.0832677820940877e-231],[-0.11033500227509019],0.2626039175292899,0.018392751874079866,0.19810337696067593,0.06090174448309382,0.09246595777261653
16,0.6666666666666666,-1.3414915800094604,-1.272324800491333,[0.7524657845497131],[0.5463502407073975],[0.6330533027648926],[0.9803921568627451],[0.29411764705882354],[0.45248868423250965],[0.8360655737704918],[0.17832167832167833],[0.2939481239033628],[0.9411764705882353],[0.2823529411764706],[0.4343891367211974],[0.14621635793311796],[1.0003688322288243e-231],[0.25448931764772786],0.6876571403997601,0.5717558146902413,0.6767638063766563,0.6253081118587344,0.624609244308544
17,1.0,-0.4076631367206573,-0.4452198147773742,[0.8387708067893982],[0.5626083612442017],[0.6734786629676819],[0.9824561403508771],[0.3218390804597701],[0.4848484811311632],[0.9523809523809523],[0.21660649819494585],[0.35294117345138415],[0.9824561403508771],[0.3218390804597701],[0.4848484811311632],[0.14183373730308],[9.52208653546315e-232],[0.23530675530448442],0.9852427031976752,0.9864790942004579,0.9616442079215471,0.9322098648558307,0.9601110556592786
18,0.6666666666666666,-1.7564594745635986,-1.3345681428909302,[0.7846993207931519],[0.477336049079895],[0.593589186668396],[0.9354838709677419],[0.15591397849462366],[0.26728110354180384],[0.8055555555555556],[0.09897610921501707],[0.1762917913640857],[0.9354838709677419],[0.15591397849462366],[0.26728110354180384],[0.08741604672843852],[7.199666163340923e-232],[0.11509252955477556],0.6798125024444666,0.89333244402228,0.695882813011114,0.8877116163633908,0.8256422911322616
19,1.0,-0.6100494861602783,-0.535503625869751,[0.8380675911903381],[0.5380613803863525],[0.6553627252578735],[1.0],[0.30952380952380953],[0.4727272691173554],[0.9523809523809523],[0.20618556701030927],[0.3389830479215743],[1.0],[0.30952380952380953],[0.4727272691173554],[0.14110899516635012],[9.52208653546315e-232],[0.2088486658690134],0.986675187324968,0.8971404483242035,0.9542211198155194,0.9439696855502445,0.9317770845633224
20,0.0,-2.495382308959961,-2.061143636703491,[0.6532334685325623],[0.41755175590515137],[0.5094556212425232],[0.9642857142857143],[0.135678391959799],[0.23788546039240047],[0.6060606060606061],[0.06269592476489028],[0.1136363619371449],[0.8928571428571429],[0.12562814070351758],[0.2202643150179511],[0.07617815048191255],[7.386826398032373e-232],[0.10135682300349191],0.3113241659993865,0.5580052523632103,0.504490702795923,0.5904268250935597,0.550974260084231
21,0.5,-0.6624196171760559,-1.0122766494750977,[0.7772811055183411],[0.5101896524429321],[0.6160306930541992],[0.9787234042553191],[0.23834196891191708],[0.38333333018368054],[0.9074074074074074],[0.153125],[0.2620320830907376],[0.9787234042553191],[0.23834196891191708],[0.38333333018368054],[0.1347551768934415],[1.0692267874642598e-231],[0.13381709817202236],0.9684896756342672,0.9185532280284666,0.9040302151206194,0.7669718395267208,0.863185094225269
22,1.0,-0.935095489025116,-1.0577582120895386,[0.8056888580322266],[0.5772114992141724],[0.6725761294364929],[0.9672131147540983],[0.29064039408866993],[0.44696969341626497],[0.8285714285714286],[0.1901639344262295],[0.3093333302968889],[0.9672131147540983],[0.29064039408866993],[0.44696969341626497],[0.18472926417056676],[9.754733773737682e-232],[0.2335716267838316],0.7494999127831878,0.9424810070840268,0.7807639462505614,0.8590969289652545,0.860780627433281
23,1.0,-0.7646256685256958,-0.6783037185668945,[0.7852452397346497],[0.4794745445251465],[0.5953969359397888],[0.9318181818181818],[0.22527472527472528],[0.36283185527136036],[0.8260869565217391],[0.12837837837837837],[0.22222221989398447],[0.9318181818181818],[0.22527472527472528],[0.36283185527136036],[0.12594504595029687],[8.147480343967206e-232],[0.12439704472403035],0.9798843850194386,0.9564801206831569,0.954771128553605,0.89607164936218,0.9357742995329806
24,1.0,-0.4596616923809051,-0.3944357931613922,[0.8742610216140747],[0.6283235549926758],[0.7311652302742004],[0.9615384615384616],[0.4716981132075472],[0.6329113879891043],[0.9230769230769231],[0.3448275862068966],[0.5020920462491905],[0.9615384615384616],[0.4716981132075472],[0.6329113879891043],[0.29430551250387466],[9.857609866842017e-232],[0.26112819997283765],0.968557804245363,0.9952548699561543,0.9768565726833129,0.7294927248599521,0.9005347224998065
25,0.0,-1.9475769996643064,-2.012098789215088,[0.6518940925598145],[0.44358116388320923],[0.5279315114021301],[0.9375],[0.18292682926829268],[0.30612244624739693],[0.8095238095238095],[0.12878787878787878],[0.22222221985390236],[0.9375],[0.18292682926829268],[0.30612244624739693],[0.1031535963556089],[6.957990942521506e-232],[0.06828571762883284],0.8200500470080362,0.12814601770860976,0.6816791881565333,0.19048905733342372,0.3334380877328556
26,0.6666666666666666,-0.8282659649848938,-0.720867931842804,[0.8213012218475342],[0.5601365566253662],[0.6660319566726685],[0.9666666666666667],[0.31521739130434784],[0.4754098323568934],[0.835820895522388],[0.1891891891891892],[0.3085399418934651],[0.9666666666666667],[0.31521739130434784],[0.4754098323568934],[0.16375401669481657],[8.875825067922154e-232],[0.2535188357614174],0.9643657503517432,0.9814234763924548,0.9579060376002301,0.5430697498532684,0.8274664212819843
27,1.0,-0.9083675146102904,-0.7045706510543823,[0.788264811038971],[0.5665543079376221],[0.6592686176300049],[0.9736842105263158],[0.29133858267716534],[0.44848484493957763],[0.8974358974358975],[0.18134715025906736],[0.3017241351341409],[0.9736842105263158],[0.29133858267716534],[0.44848484493957763],[0.1667972496259992],[9.363140134330432e-232],[0.22091602514019826],0.9858664455337351,0.967056965523094,0.9412103043219626,0.5248923509409172,0.8110532069286579
28,0.6666666666666666,-1.0674058198928833,-0.7120884656906128,[0.7932817935943604],[0.5409924983978271],[0.6432852745056152],[1.0],[0.23857868020304568],[0.3852458985289573],[0.9230769230769231],[0.14501510574018128],[0.25065273916762687],[1.0],[0.23857868020304568],[0.3852458985289573],[0.13206781905912157],[7.850707993042515e-232],[0.1720487115607724],0.6618759441236391,0.13699812015434365,0.6524245515896968,0.6782787052279181,0.48923379232398617
29,1.0,-0.974441409111023,-0.9982097744941713,[0.7443892955780029],[0.4326004981994629],[0.5471979379653931],[1.0],[0.11574074074074074],[0.2074688778085777],[0.88],[0.0658682634730539],[0.12256267279893858],[1.0],[0.11574074074074074],[0.2074688778085777],[0.06748866073682112],[9.336117803135294e-232],[-0.05455325384444598],0.9878970262245927,0.9539393059319096,0.7961814515625019,0.9456082500767152,0.8985763358570423
30,1.0,-1.1266789436340332,-0.5785179138183594,[0.7727353572845459],[0.4625028967857361],[0.5786613821983337],[1.0],[0.16145833333333334],[0.2780269034358222],[0.8709677419354839],[0.09152542372881356],[0.1656441700581505],[1.0],[0.16145833333333334],[0.2780269034358222],[0.09412183156722076],[8.90735602648238e-232],[0.0863459481330765],0.9825162637800284,0.8662550154099136,0.9509063274966167,0.8462918920987419,0.8878177450017574
31,1.0,-1.0435552597045898,-0.5875263214111328,[0.7567986249923706],[0.47850874066352844],[0.586307168006897],[0.972972972972973],[0.20930232558139536],[0.34449760474164975],[0.9090909090909091],[0.132013201320132],[0.23054754821782428],[0.972972972972973],[0.20930232558139536],[0.34449760474164975],[0.09252717391304348],[1.0350003944289303e-231],[0.08916415135228861],0.9776828773569484,0.911351805727066,0.8924590403772146,0.8737276982342946,0.8925128481128585
32,0.6666666666666666,-0.953201174736023,-1.0714983940124512,[0.8311495184898376],[0.5306289792060852],[0.6477294564247131],[0.9512195121951219],[0.21666666666666667],[0.3529411734485371],[0.8541666666666666],[0.12349397590361445],[0.21578947147700833],[0.9512195121951219],[0.21666666666666667],[0.3529411734485371],[0.10410258676065241],[8.029654430073048e-232],[0.13833510788133396],0.9771753172244558,0.9789174405599033,0.9605012066314308,0.7212761355416872,0.8868982609110071
33,0.6666666666666666,-0.692509651184082,-0.7762385606765747,[0.7745424509048462],[0.4571727514266968],[0.5749700665473938],[1.0],[0.2109375],[0.34838709389719047],[0.9],[0.1323529411764706],[0.23076922853385934],[1.0],[0.2109375],[0.34838709389719047],[0.09482864766467468],[8.972141065609098e-232],[0.15626407856726088],0.9877974856188316,0.987148006351293,0.9645675328139757,0.9342760579504991,0.9619971990385893
34,1.0,-0.5667868256568909,-0.4907248914241791,[0.8080582022666931],[0.5079888105392456],[0.6238144040107727],[0.9736842105263158],[0.18316831683168316],[0.30833333066805557],[0.9130434782608695],[0.1276595744680851],[0.22399999784760888],[0.9736842105263158],[0.18316831683168316],[0.30833333066805557],[0.09926812227074236],[1.019432043742309e-231],[0.1155539631449427],0.9878963151083388,0.9863352357736542,0.9641757044809416,0.94204539164159,0.9641854439653953
35,0.6666666666666666,-1.042923092842102,-1.272734761238098,[0.7601144909858704],[0.5136709213256836],[0.6130526065826416],[0.96875],[0.16230366492146597],[0.27802690337147346],[0.8378378378378378],[0.09717868338557993],[0.17415730150817446],[0.96875],[0.16230366492146597],[0.27802690337147346],[0.07743677981460884],[1.0832677820940877e-231],[0.09188537598224089],0.913570571569948,0.5205392142019769,0.8518385139018001,0.9165511284993201,0.7629762855343657
