id,fact,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
0,1.0,-2.8441250324249268,-2.571717977523804,[0.7037734389305115],[0.4045702815055847],[0.5137861371040344],[0.7692307692307693],[0.05917159763313609],[0.10989010856357928],[0.07692307692307693],[0.003745318352059925],[0.00714285625739807],[0.7692307692307693],[0.05917159763313609],[0.10989010856357928],[0.028210207312221174],[1.2183324802375697e-231],[-0.10064617598500414],0.0333868241530655,0.2215736738899782,0.21076706129416312,0.9371349209560677,0.45649188538006963
1,0.0,-1.4694597721099854,-1.884732961654663,[0.6453604698181152],[0.43740156292915344],[0.521410346031189],[0.8],[0.09230769230769231],[0.16551723952437575],[0.4666666666666667],[0.030837004405286344],[0.0578512385065911],[0.8],[0.09230769230769231],[0.16551723952437575],[0.038732824722107866],[8.972141065609098e-232],[-0.016417218544507062],0.2898851299530758,0.42278303899066094,0.24045776148637982,0.9483453764893558,0.5371953923221322
2,0.0,-2.130014657974243,-2.2675766944885254,[0.6620283126831055],[0.412943571805954],[0.5086278915405273],[0.6842105263157895],[0.07647058823529412],[0.1375661357576776],[0.3684210526315789],[0.026515151515151516],[0.049469963411704516],[0.631578947368421],[0.07058823529411765],[0.12698412517566698],[0.02941176470588235],[8.510469113101058e-232],[0.011392559369112543],0.6471554283698864,0.5370311106808902,0.36797967850042007,0.8799267978887225,0.5949791956900109
3,0.0,-2.001808881759644,-1.820809006690979,[0.6902768015861511],[0.40111660957336426],[0.5073907971382141],[0.8],[0.0622568093385214],[0.11552346436419086],[0.55],[0.023706896551724137],[0.04545454466224986],[0.7],[0.054474708171206226],[0.10108303115119446],[0.028076884116693682],[8.412065649527267e-232],[-0.0920665135949632],0.9627033771221424,0.9597171367471754,0.9616957819258339,0.9520934144809734,0.9578354443846608
4,1.0,-2.404502868652344,-2.396517038345337,[0.7366831302642822],[0.3948006331920624],[0.5140913128852844],[0.8461538461538461],[0.061452513966480445],[0.11458333207085504],[0.25],[0.009615384615384616],[0.018518517805212648],[0.8461538461538461],[0.061452513966480445],[0.11458333207085504],[0.023656531651882726],[1.1200407237786664e-231],[-0.1256465003399072],0.9617517623749062,0.9621427950179828,0.9562851025524877,0.9750452227769499,0.9644910401158068
5,1.0,-2.131211757659912,-2.1141233444213867,[0.7244996428489685],[0.4238584041595459],[0.5348249077796936],[0.8666666666666667],[0.0593607305936073],[0.11111110991124261],[0.42857142857142855],[0.015424164524421594],[0.02977667426731279],[0.8],[0.0547945205479452],[0.10256410136423406],[0.02393335824217756],[9.109159947227211e-232],[-0.022249913545912436],0.9750702416062996,0.9082965483797745,0.9116132059864002,0.9409892054056009,0.9202996532572585
6,1.0,-1.8540115356445312,-1.7707747220993042,[0.690986692905426],[0.42987173795700073],[0.5300145745277405],[0.8333333333333334],[0.05102040816326531],[0.09615384506656806],[0.4444444444444444],[0.01568627450980392],[0.03030302964445594],[0.7222222222222222],[0.04421768707482993],[0.08333333224605523],[0.024172689235450743],[1.0258921109552494e-231],[-0.04141596083676258],0.0133988808246875,0.9507533991130885,0.9494586305884907,0.9306178972934102,0.9436099756649964
7,0.0,-1.4796621799468994,-1.2508641481399536,[0.6668257117271423],[0.44129472970962524],[0.5311095714569092],[0.7407407407407407],[0.09433962264150944],[0.1673640147322351],[0.2962962962962963],[0.021739130434782608],[0.04050632784028205],[0.6296296296296297],[0.08018867924528301],[0.14225941222177485],[0.03730478993845331],[9.336117803135294e-232],[-0.011619853097686317],0.4604637644375576,0.9573570727575682,0.9479849407728125,0.9389377182507094,0.9480932439270301
8,0.0,-2.112194061279297,-1.8213626146316528,[0.6358698606491089],[0.4146125614643097],[0.501940131187439],[0.7222222222222222],[0.05909090909090909],[0.10924369608078527],[0.2],[0.011494252873563218],[0.02173912940689986],[0.6666666666666666],[0.05454545454545454],[0.10084033473624746],[0.03259985734664765],[1.1070900996592687e-231],[-0.05107573686384326],0.9405793745883192,0.9116148886879405,0.8831076497533573,0.9625857425309702,0.9191027603240894
9,1.0,-0.6690923571586609,-1.0472936630249023,[0.7236276865005493],[0.4120626449584961],[0.5251078009605408],[0.9333333333333333],[0.06306306306306306],[0.11814345872990438],[0.9285714285714286],[0.03367875647668394],[0.06499999932450001],[0.9333333333333333],[0.06306306306306306],[0.11814345872990438],[0.032739776752992916],[9.109159947227211e-232],[-0.08829182168741978],0.9606840263133904,0.9094939951181186,0.9075616873450847,0.9548509986585116,0.9239688937072383
